,Density Trees,Fine,On fire,Burned
945,0.326,791,2428,41
946,0.3239,796,2381,62
947,0.3197,806,2340,51
948,0.3166,816,2298,52
949,0.3134,827,2265,42
950,0.3112,830,2223,59
951,0.3073,828,2203,42
952,0.3051,836,2158,57
953,0.3014,841,2121,52
954,0.2982,841,2093,48
955,0.2954,856,2049,49
956,0.2925,872,2010,43
957,0.2902,875,1968,59
958,0.2863,885,1913,65
959,0.2818,902,1859,57
960,0.2781,926,1812,43
961,0.2758,934,1783,41
962,0.2737,940,1752,45
963,0.2712,961,1703,48
964,0.2684,979,1671,34
965,0.267,990,1638,42
966,0.2648,993,1610,45
967,0.2623,1006,1567,50
968,0.2593,1020,1530,43
969,0.257,1035,1495,40
970,0.255,1050,1468,32
971,0.2538,1056,1447,35
972,0.2523,1064,1420,39
973,0.2504,1078,1388,38
974,0.2486,1096,1347,43
975,0.2463,1103,1321,39
976,0.2444,1120,1284,40
977,0.2424,1137,1248,39
978,0.2405,1148,1217,40
979,0.2385,1161,1205,19
980,0.2386,1181,1184,21
